participant_number,target_word,target_word_pos,position_time_pairs,file-name,upload-time-stamp,primary_key
106,dindon,1466,"[[-1466, 1.18], [-1322, 1.18], [-1215, 2.56], [-1216, 2.56], [-1147, 3.67], [-1148, 3.67], [-1050, 4.75], [-1051, 4.75], [-1002, 6.24], [52, 12.35], [52, 12.35], [-6, 22.98], [1, 25.09], [0, 27.03]]",p106-111742.csv,"2025-11-24 10:24:00.858243",127
106,récurrence,3783,"[[-3783, 1.35], [-3658, 2.69], [-3639, 2.69], [-3454, 4.04], [-3455, 4.04], [-3435, 5.08], [-3436, 5.09], [-3367, 5.99], [-3368, 5.99], [-3290, 6.92], [-3290, 8.09], [59, 12.69], [-35, 15.0], [-35, 15.0], [2, 22.61]]",p106-111742.csv,"2025-11-24 10:24:00.858243",128
106,vestiaires,4780,"[[-4780, 1.42], [-4714, 1.42], [-4674, 2.35], [-4675, 2.35], [-4616, 3.77], [-4616, 4.84], [-4598, 4.84], [-4548, 5.88], [-4549, 5.88], [-4500, 7.25], [-4501, 7.25], [-4316, 8.21], [-4316, 9.48], [56, 15.98], [4, 18.82], [-1, 19.99], [1, 21.0], [0, 22.13]]",p106-111742.csv,"2025-11-24 10:24:00.858243",129
107,vulvaires,4883,"[[-4701, 0.86], [-4564, 3.45], [-4565, 3.45], [-2056, 4.6], [-730, 8.81], [-730, 8.81], [-735, 10.41], [-780, 10.44], [-235, 15.63], [-275, 15.64], [-274, 15.64], [-119, 19.16], [-1, 38.46], [-1, 38.46], [-2, 39.78], [-2, 39.8], [1, 41.06], [0, 42.09]]",p107-112432.csv,"2025-11-24 10:30:09.231066",130
107,guerre,2122,"[[-51, 2.7], [37, 3.61], [37, 4.66], [-128, 5.94], [37, 5.94], [37, 7.88], [-118, 7.88], [-118, 8.99], [-118, 8.99], [-83, 11.92], [11, 18.65], [0, 23.48]]",p107-112432.csv,"2025-11-24 10:30:09.231066",131
107,dame,1214,"[[-1214, 1.84], [5, 7.9], [5, 7.9], [-3, 9.19], [0, 11.06]]",p107-112432.csv,"2025-11-24 10:30:09.231066",132
107,récurrence,3783,"[[-763, 2.71], [-521, 3.87], [-37, 8.14], [-36, 9.27], [-3, 16.02], [1, 17.27], [0, 18.85]]",p107-112432.csv,"2025-11-24 10:30:09.231066",133
107,damasquinerie,1213,"[[-400, 1.9], [-400, 1.9], [-428, 5.2], [-371, 8.37], [-371, 10.11], [-52, 11.18], [181, 12.95], [181, 12.95], [-20, 24.25], [2, 26.25], [0, 28.02]]",p107-112432.csv,"2025-11-24 10:30:09.231066",134
107,raison,3691,"[[-332, 2.48], [-3, 6.44], [0, 8.16]]",p107-112432.csv,"2025-11-24 10:30:09.231066",135
107,voiture,4854,"[[-875, 2.04], [-420, 5.95], [-419, 5.95], [-100, 10.51], [-54, 17.24], [-7, 23.96], [1, 26.42]]",p107-112432.csv,"2025-11-24 10:30:09.231066",136
107,gaspillages,2038,"[[-509, 3.41], [-63, 5.53], [62, 6.2], [62, 8.23], [-54, 9.16], [0, 14.61]]",p107-112432.csv,"2025-11-24 10:30:09.231066",137
107,galonner,2026,"[[-2026, 1.37], [-487, 2.3], [-71, 3.21], [423, 6.0], [142, 6.0], [142, 7.27], [-32, 8.34], [-32, 8.34], [8, 12.55], [8, 12.55], [-5, 14.95], [0, 17.59]]",p107-112432.csv,"2025-11-24 10:30:09.231066",138
107,dindon,1466,"[[-82, 2.44], [-19, 8.05], [-7, 11.94], [27, 16.53], [27, 16.53], [-4, 21.42], [-4, 21.42], [1, 23.39], [0, 24.61]]",p107-112432.csv,"2025-11-24 10:30:09.231066",139
107,vestiaires,4780,"[[-268, 2.11], [-404, 2.11], [-403, 2.11], [-26, 4.18], [-2, 12.67], [7, 15.08], [7, 15.08], [0, 17.35]]",p107-112432.csv,"2025-11-24 10:30:09.231066",140
